Sector,Industry,Company,No_Yrs,EPS_Payout,TTM_EPS,PEG,TTM_ROE,TTM_Growth,NY_Growth,DRG_1yr,Debt,Est_2019,Symbol
Utilities,Multi-Utilities,NorthWestern Corp.,14,56.12,3.92,6.3,9.6,-1.6,0.98,4.8,1.07,2.22,NWE
Communication Services,Media,Nexstar Media Group Inc.,7,29.36,6.13,0.97,37.8,12.1,-21.19,25,2.4,1.65,NXST
Real Estate,Equity Real Estate Investment Trusts (REITs),Realty Income Corp.,27,227.39,1.19,7.43,4.6,-2.5,8.25,3.8,0.88,2.66,O
Industrials,Building Products,Owens Corning Inc.,6,21.73,4.05,1.04,8.9,-3.8,13.91,5,0.88,0.85,OC
Financials,Thrifts & Mortgage Finance,OceanFirst Financial Corp,5,50.37,1.35,1.78,4.8,42.1,4.54,3.3,0.1,0.68,OCFC
Utilities,Gas Utilities,ONE Gas Inc.,6,59.88,3.34,4.47,8.7,17.9,4.36,9.5,0.73,2.02,OGS
Real Estate,Equity Real Estate Investment Trusts (REITs),Omega Healthcare Investors,16,195.56,1.35,1.88,8,-73.3,13.64,3.9,1.33,2.67,OHI
Energy,"Oil, Gas & Consumable Fuels",ONEOK Inc.,17,132.31,2.6,0.66,14.4,5.7,1.52,19.3,1.35,3.43,OKE
Communication Services,Media,Omnicom Group Inc.,9,41.81,5.74,2,47.5,6.8,2.29,9.1,2.04,2.56,OMC
Information Technology,Software,Oracle Corp.,10,28.46,2.67,1.88,9.8,15,7.61,5.6,1.9,0.84,ORCL
Financials,Insurance,Old Republic International,37,27.96,2.79,0.72,10.8,32.2,0.89,2.6,0.18,0.86,ORI
Industrials,Machinery,Oshkosh Corp.,6,17.5,6.17,1.58,19.7,63.2,6.35,13.8,0.33,1.09,OSK
Information Technology,Software,Open Text Corp.,6,62.6,0.97,3.75,6.6,-75.6,8.57,15,0.7,0.59,OTEX
Utilities,Electric Utilities,Otter Tail Corp.,5,60.63,2.21,2.44,12.2,16,5.01,4.7,0.84,1.47,OTTR
Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Oxford Industries Inc.,8,36.96,3.68,2.08,16.3,-2.9,11.6,19.4,0.07,1.3,OXM
Energy,"Oil, Gas & Consumable Fuels",Occidental Petroleum,15,61.3,5.09,0.24,18.7,228.9,-28.29,1.3,0.48,3.4,OXY
Financials,Banks,Bank OZK,23,27.16,3.24,0.78,13.2,45.4,2.74,12,0.09,0.87,OZK
Consumer Discretionary,Specialty Retail,Penske Automotive Group Inc.,9,28.25,5.38,1.98,28.3,7.8,3.49,12.7,2.17,1.53,PAG
Information Technology,IT Services,Paychex Inc.,8,93.72,2.39,3.13,42,2,8.27,13.5,0.02,2.22,PAYX
Financials,Banks,Prosperity Bancshares,20,37.27,4.4,1.77,7.8,0,5.42,5.9,0,1.44,PB
Financials,Banks,People's United Financial,26,56,1.25,0.95,7.1,3.4,8.29,1.5,0.16,0.72,PBCT
Industrials,Machinery,Paccar Inc.,9,22.18,5.77,2.78,25.5,187,0.91,10.1,1.05,1.2,PCAR
Health Care,Health Care Providers & Services,Patterson Companies Inc.,9,123.81,0.84,5.91,10.6,-26.6,8.72,2,0.56,1.05,PDCO
Utilities,Multi-Utilities,Public Service Enterprise Group Inc.,7,62.94,2.86,2.65,15.5,-6.4,4.77,4.7,1.03,1.82,PEG
Utilities,Independent Power and Renewable Electricity Producers,Pattern Energy Group Inc.,5,108.21,1.56,0.46,25.4,6.6,-67.87,0.5,2.09,1.8,PEGI
Consumer Staples,Beverages,PepsiCo Inc.,46,63.97,5.8,3.04,46.8,16.6,3.74,9.4,3.41,3.81,PEP
Consumer Discretionary,Internet & Direct Marketing Retail,PetMed Express Inc.,10,53.73,2.01,1.59,33.9,45.7,-0.5,31.6,0,1.14,PETS
Financials,Banks,Preferred Bank,6,25.86,4.64,1,14.5,31.8,5.05,17.5,0.25,1.03,PFBC
Health Care,Pharmaceuticals,Pfizer Inc.,9,60,2.4,2.53,33.7,68.2,1.5,6.3,0.58,1.5,PFE
Financials,Insurance,Principal Financial Group Inc.,10,40.37,5.35,1.34,17.8,30,-1.12,12.3,0.28,2.31,PFG
Financials,Thrifts & Mortgage Finance,Provident Financial Services Inc.,8,51.53,1.63,1.89,7.8,10.2,3.8,5.1,1.15,0.9,PFS
Consumer Staples,Household Products,Procter & Gamble Co.,62,69.8,4.11,3.37,20.1,5.6,7.15,3.8,0.63,3,PG
Industrials,Machinery,Parker-Hannifin Corp.,62,26.93,11.29,1.76,19.7,46.3,7.05,11.4,0.84,3.23,PH
Consumer Discretionary,Leisure Products,Polaris Industries,23,46.88,5.12,1.09,29.9,8.7,5.95,3.4,2.08,2.61,PII
Materials,Containers & Packaging,Packaging Corp of America,8,44.01,7.18,1.24,34,21.5,6.35,12.7,0.99,3.12,PKG
Consumer Discretionary,Specialty Retail,Children's Place Inc. (The),5,26.08,7.67,0.82,21.3,39.3,18.63,42.9,0.19,2.2,PLCE
Industrials,Machinery,Douglas Dynamics Inc.,9,28.12,3.77,0.63,10.2,99.4,3.15,10.4,1.14,1.17,PLOW
Financials,Banks,PNC Financial Services Group Inc.,8,35.38,10.74,1.37,11.7,8.2,6.89,30.8,0.81,3.68,PNC
Utilities,Electric Utilities,PNM Resources Inc.,8,80.56,1.44,7.23,5,-6.3,7.58,9.3,1.62,1.07,PNM
Utilities,Electric Utilities,Pinnacle West Capital Corp.,7,64.27,4.59,4.61,9.9,12.3,7.88,6.1,0.97,3.1,PNW
Materials,Chemicals,PolyOne Corp.,9,33.48,2.33,1.39,31.2,10.7,8.87,29.6,2.18,0.77,POL
Consumer Discretionary,Distributors,Pool Corp.,8,32.55,5.53,1.59,83.9,22.1,9.96,21.1,1.56,1.89,POOL
Utilities,Electric Utilities,Portland General Electric Co.,13,58.23,2.49,3.85,8.4,5.6,4,6.4,0.98,1.48,POR
Information Technology,Semiconductors & Semiconductor Equipment,Power Integrations Inc.,6,28.32,2.26,4.07,5.7,29.1,-0.3,14.3,0,0.7,POWI
Materials,Chemicals,PPG Industries Inc.,47,35.29,5.44,2.23,32.4,158.4,10.6,9.4,1.01,2.05,PPG
Utilities,Electric Utilities,PPL Corp.,17,63.32,2.59,3.37,13.3,-24.6,3.34,3.8,1.85,1.64,PPL
Health Care,Pharmaceuticals,Perrigo Company plc,16,79.17,0.96,9.64,2.1,103.4,1.25,18.8,0.58,0.84,PRGO
Financials,Insurance,Primerica Inc.,9,14.16,7.06,0.9,22.3,20.7,10.4,28.2,0.88,1.1,PRI
Industrials,Construction & Engineering,Primoris Services Corporation,7,21.24,1.13,1.77,11.9,136.7,32.53,6.7,0.63,0.26,PRIM
Financials,Insurance,Prudential Financial Inc.,10,39.47,9.12,1.16,13.8,15.9,6.08,20,0.44,3.96,PRU
Energy,"Oil, Gas & Consumable Fuels",Phillips 66,7,40.4,7.92,0.29,28.2,57,-8.26,13.6,0.49,3.41,PSX
Energy,"Oil, Gas & Consumable Fuels",Phillips 66 Partners LP,7,90.51,3.69,0.77,16.7,18.1,-0.52,9.6,0.97,2.9,PSXP
Industrials,Road & Rail,Ryder System,14,53.6,4.03,0.98,28.1,-35.4,6.48,17.8,2.15,2.14,R
Industrials,Commercial Services & Supplies,Ritchie Brothers Auctioneers Inc.,18,69.23,1.04,2.89,15.9,-29.4,23.84,2.9,0.93,0.71,RBA
Industrials,Electrical Equipment,Regal Beloit Corp.,14,21.92,5.11,1.38,9.7,4.5,9.7,8,0.55,1.13,RBC
Financials,Banks,Republic Bancorp KY,21,31.06,3.4,1.23,10,12.9,6.11,10.3,0.06,1.04,RBCAA
Consumer Discretionary,"Hotels, Restaurants & Leisure",Royal Caribbean Cruises Ltd.,8,33.25,8.42,1.19,16.4,27,12.4,22.5,0.87,2.75,RCL
Financials,Insurance,Everest Reinsurance Group Ltd.,6,21.82,25.67,0.22,8.3,-51.2,286.49,5,0.08,5.35,RE
Industrials,Professional Services,Resources Connection Inc.,9,69.33,0.75,2.8,9.2,3.7,13,8.7,0.21,0.52,RECN
Real Estate,Equity Real Estate Investment Trusts (REITs),Regency Centers Corp.,5,154.17,1.44,4.96,3.9,-33.9,12.01,5.7,0.57,2.24,REG
Real Estate,Equity Real Estate Investment Trusts (REITs),Rexford Industrial Realty Inc.,6,145.45,0.44,7.71,2.6,32.6,-39.06,7.8,0.47,0.69,REXR
Financials,Banks,Regions Financial Corp.,6,40.88,1.37,1.23,9.2,19.1,7.72,30.2,0.39,0.45,RF
Financials,Insurance,Reinsurance Group of America Inc.,10,21.54,11.14,1.27,20.4,11.1,10.08,20.9,0.41,2.42,RGA
Industrials,Professional Services,Robert Half International Inc.,15,33.04,3.39,0.97,33.1,0,9.9,16.7,0,1.12,RHI
Real Estate,Equity Real Estate Investment Trusts (REITs),Ryman Hospitality Properties Inc.,6,99.71,3.41,1.52,48.4,9.1,20.54,6.3,0,3.65,RHP
Financials,Capital Markets,Raymond James Financial Inc.,7,21.12,6.44,1.49,13,49.1,8.25,25,3.55,1.21,RJF
Financials,Insurance,RLI Corp.,43,61.54,1.43,4.71,12.3,-37.3,2.53,4.8,0.17,0.88,RLI
Health Care,Health Care Equipment & Supplies,ResMed Inc.,7,44.98,3.29,2.91,15.7,31.1,10.26,5.9,0.28,1.58,RMD
Financials,Insurance,RenaissanceRe Holdings,23,16.73,7.89,1.75,6.7,-145.5,69.68,3.1,0.23,1.33,RNR
Real Estate,Equity Real Estate Investment Trusts (REITs),Retail Opportunity Investments Corp.,9,229.41,0.34,6.38,3.6,12,1.85,4,1.22,0.86,ROIC
Industrials,Electrical Equipment,Rockwell Automation Inc.,9,44.91,8.64,1.97,29.9,33.2,8.2,17,1.1,4.01,ROK
Industrials,Commercial Services & Supplies,Rollins Inc.,17,59.15,0.71,6.41,29,14.1,10.44,21.7,0,0.41,ROL
Industrials,Industrial Conglomerates,Roper Technologies Inc.,26,21.07,8.78,3.47,15.7,13.7,4.55,17.9,0.69,1.82,ROP
Consumer Discretionary,Specialty Retail,Ross Stores Inc.,24,22.28,4.04,1.9,50.9,17.9,7.7,40.6,0.12,0.99,ROST
Materials,Chemicals,RPM International Inc.,45,72.16,1.94,2.92,15.2,87.3,34.48,7.4,1.55,1.44,RPM
Materials,Metals & Mining,Reliance Steel & Aluminum Co.,8,22.81,8.77,0.91,17.6,32.7,-16.58,11.1,0.41,2.2,RS
Industrials,Commercial Services & Supplies,Republic Services Inc.,16,53,2.83,1.72,17.7,35.1,6.39,8,1.04,1.55,RSG
Industrials,Aerospace & Defense,Raytheon Company,14,37.84,9.17,0.71,23.5,-0.4,16.5,8.8,0.45,3.43,RTN
Consumer Discretionary,"Hotels, Restaurants & Leisure",Ruth's Hospitality Group Inc.,6,35.77,1.23,1.32,42.3,5.8,6.9,22.2,0.6,0.47,RUTH
Financials,Thrifts & Mortgage Finance,Riverview Bancorp Inc,5,22.22,0.72,0.86,10.1,66.2,8,52.9,0.24,0.14,RVSB
Financials,Banks,Sandy Spring Bancorp Inc.,8,39.72,2.82,1.58,7.6,21.5,7.55,5.8,0.04,1.21,SASR
Real Estate,Equity Real Estate Investment Trusts (REITs),Sabra Health Care REIT Inc.,8,82.57,2.18,1.57,11.5,52.8,-25.27,4,1,1.98,SBRA
Financials,Banks,Southside Bancshares,24,58.82,2.04,8.1,8.9,4.2,5.08,11.4,0.21,1.25,SBSI
Consumer Discretionary,"Hotels, Restaurants & Leisure",Starbucks Corp.,9,43.37,3.32,1.67,116.5,70,11.64,25.7,8.07,1.45,SBUX
Consumer Discretionary,Diversified Consumer Services,Service Corp International,8,24.55,2.77,1.28,34.1,219.4,9.75,17.2,2.43,0.75,SCI
Materials,Chemicals,Stepan Company,51,21.28,4.7,4.25,12.5,22,14.39,10.1,0.37,1.02,SCL
Industrials,Commercial Services & Supplies,Steelcase Inc.,8,48.65,1.11,1.49,12.2,-11,14.09,6,0.38,0.54,SCS
Consumer Discretionary,Specialty Retail,Shoe Carnival Inc.,7,13.39,2.39,1.54,10.7,11.3,9.83,6.9,0,0.34,SCVL
Financials,Capital Markets,SEI Investments Company,28,20.95,3.15,1.26,32.4,19,-1.14,3.4,0,0.66,SEIC
Financials,Banks,Simmons First National Corp.,8,27.47,2.33,2.13,7.2,-25.4,7.66,16.2,0.17,0.58,SFNC
Communication Services,Wireless Telecommunication Services,Shenandoah Telecommunications,6,34.62,0.78,2.52,9,-30.8,43.84,3.8,1.75,0.27,SHEN
Materials,Chemicals,Sherwin-Williams Co.,40,25.58,13.45,1.89,50.5,6,15.35,1.2,2.43,3.65,SHW
Financials,Insurance,Selective Insurance Group Inc.,5,25.97,3.08,1.61,9.6,18,18.24,12.1,0,0.81,SIGI
Consumer Staples,Food Products,J.M. Smucker Co.,21,67.86,5.01,2.49,16.8,-1.8,2.76,6.5,0.78,3.29,SJM
Utilities,Water Utilities,SJW Corp.,51,45.71,2.45,1.75,10.2,7.1,13.97,28.7,1.07,1.2,SJW
Real Estate,Equity Real Estate Investment Trusts (REITs),Tanger Factory Outlet Centers,25,241.38,0.58,5.86,9.9,-66.7,33.33,3,3.51,1.41,SKT
Materials,Containers & Packaging,Silgan Holdings Inc.,15,20.2,1.98,1.02,27.7,12,7.88,11.1,3.2,0.44,SLGN
Materials,Chemicals,Scotts Miracle-Gro Company,9,150.68,1.46,5.6,13.6,-54.2,12.29,4.9,5.69,2.18,SMG
Consumer Discretionary,Auto Components,Standard Motor Products Inc.,9,35.59,2.36,2.97,6.7,-2.5,27.36,10.5,0.11,0.85,SMP
Industrials,Machinery,Snap-on Inc.,9,33.87,11.22,1.53,20.6,4.8,6.57,15.6,0.35,3.57,SNA
Financials,Banks,Synovus Financial,5,28.82,3.47,1.28,11.7,35.1,9.93,57.9,0.58,0.99,SNV
Information Technology,"Electronic Equipment, Instruments & Components",SYNNEX Corp.,6,18.96,7.91,0.96,10,27.6,5.89,33.3,0.78,1.54,SNX
Utilities,Electric Utilities,Southern Company,18,112.68,2.13,13.63,10,-77.6,-0.85,3.5,1.89,2.4,SO
Materials,Containers & Packaging,Sonoco Products Co.,36,87.23,1.88,3.96,13.7,-56.3,5.42,5.2,0.77,1.64,SON
Real Estate,Equity Real Estate Investment Trusts (REITs),Simon Property Group Inc.,9,108.11,7.4,2.86,66.6,6.3,-0.76,10.5,7.09,8.4,SPG
Financials,Capital Markets,S&P Global Inc.,45,27.4,7.3,1.89,309.9,-20,8.64,22,4.05,2.02,SPGI
Utilities,Gas Utilities,Spire Inc.,16,74.29,3.19,9.24,9.7,-9.2,4.39,7.1,1.17,2.27,SR
Financials,Banks,1st Source Corp.,32,36.99,2.92,1.55,10.3,12.9,6.87,26.3,0.17,1.06,SRCE
Utilities,Multi-Utilities,Sempra Energy,15,211.83,1.69,7.99,-3.2,-18.2,11.37,8.8,1.79,3.54,SRE
Financials,Banks,South State Corp.,8,34.31,4.43,1.25,5.7,-8.8,-1.19,4.5,0.05,1.39,SSB
Industrials,Building Products,Simpsom Manufacturing Co.,5,32.35,2.72,4.52,14.2,5.5,19.29,10.3,0,0.91,SSD
Real Estate,Equity Real Estate Investment Trusts (REITs),STAG Industrial Inc.,9,332.56,0.43,9.16,4.6,-17.8,-70.5,1.2,0.92,1.43,STAG
Consumer Discretionary,"Hotels, Restaurants & Leisure",Extended Stay America Inc.,5,157.14,0.56,7.26,12.9,22.9,-1.69,6.1,2.93,0.96,STAY
Financials,Banks,S&T Bancorp Inc.,6,37.37,2.89,1.33,9.7,20.8,7.69,20.7,0.1,1.09,STBA
Health Care,Health Care Equipment & Supplies,Steris plc,14,39.19,3.47,3.29,10.1,148.5,11.18,10.2,0.41,1.43,STE
Financials,Banks,SunTrust Banks Inc.,8,35.71,5.6,1.08,11.3,7.1,6.54,36.4,0.65,1.93,STI
Materials,Metals & Mining,Steel Dynamics Inc.,8,14.02,5.35,1.58,28.7,68.3,-12.13,18.6,0.59,0.79,STLD
Financials,Capital Markets,State Street Corp.,8,29.33,6.41,1.38,11.5,19.1,12.99,14.1,0.62,1.96,STT
Industrials,Machinery,Stanley Black & Decker,51,60.27,4.38,3.48,13.6,25.8,8.99,6.6,0.58,2.84,SWK
Information Technology,Semiconductors & Semiconductor Equipment,Skyworks Solutions Inc.,5,23.97,6.34,1.03,22.7,17.2,9.5,16.7,0,1.54,SWKS
Materials,Paper & Forest Products,Schweitzer-Mauduit International Inc.,7,48.48,3.63,1.77,10.7,3.5,6.08,2.4,1.13,1.79,SWM
Utilities,Gas Utilities,Southwest Gas Corp.,12,55.47,3.75,3.37,11.1,19.2,4.59,6.2,1.12,2.26,SWX
Industrials,Machinery,Standex International Inc.,8,17.7,4.52,1.65,8.7,22.2,14.76,12.1,0.65,0.81,SXI
Materials,Chemicals,Sensient Technologies Corp.,13,37.6,3.83,4.32,16.5,-10.5,0.14,9.8,0.91,1.36,SXT
Financials,Banks,Stock Yards Bancorp Inc.,9,44.44,2.25,1.54,12.7,6.2,6.36,20,0,1.02,SYBT
Health Care,Health Care Equipment & Supplies,Stryker Corp.,26,38.1,5.46,3.1,12.8,12,9.96,10.6,0.73,2.07,SYK
Consumer Staples,Food & Staples Retailing,Sysco Corp.,49,57.78,2.7,2.09,61.2,23.7,10.31,9.1,3.3,1.58,SYY
Communication Services,Diversified Telecommunication Services,AT&T Inc.,35,101.49,2.01,2.53,20.5,-29.2,1.45,2,1,2.02,T
Financials,Thrifts & Mortgage Finance,Territorial Bancorp,9,46.07,1.91,3.6,6.9,1.7,4.81,5,0,0.85,TBNK
Financials,Banks,TriCo Bancshares,6,34.23,2.22,2.42,8.3,6.3,20.6,6.1,0.07,0.74,TCBK
Information Technology,"Electronic Equipment, Instruments & Components",TE Connectivity Ltd.,6,20.51,8.58,0.91,13.6,107.5,11.19,9.6,0.37,1.89,TEL
Industrials,Machinery,Terex Corp.,6,19.42,2.06,0.4,11.4,165,28.12,25,1.16,0.44,TEX
Consumer Discretionary,Multiline Retail,Target Corp.,51,49.14,5.21,1.75,28.8,0.7,4,3.3,1.05,2.54,TGT
Consumer Discretionary,Automobiles,Thor Industries Inc.,9,24.11,6.47,0.59,16.9,21.7,17.1,10.3,0,1.65,THO
Consumer Discretionary,Specialty Retail,Tiffany & Company,16,46.81,4.7,1.83,14.1,15.7,5.79,10.5,0.32,2.31,TIF
Industrials,Commercial Services & Supplies,Interface Inc.,9,24.53,1.06,0.47,14.1,32.6,15.48,4,1.84,0.29,TILE
Consumer Discretionary,Specialty Retail,TJX Companies Inc.,22,32.91,2.37,1.8,59.3,12.8,6.38,23.8,0.42,0.82,TJX
Industrials,Machinery,Timken Company (The),5,28.64,3.91,4.36,18,70.2,15.35,3.7,1.1,1.22,TKR
Energy,"Oil, Gas & Consumable Fuels",Transmontaigne Partners LP,14,191.67,1.68,4.87,9,2.6,13.78,7.7,1.97,3.24,TLP
Financials,Insurance,Torchmark Corp.,13,3.08,20.78,0.29,27,345.1,7.61,6.8,0.36,0.69,TMK
Financials,Banks,Tompkins Financial Corp.,32,37.95,5.27,1.74,10.5,12.9,6.38,6.6,1.68,2.13,TMP
Industrials,Machinery,Tennant Company,47,65.19,1.35,2.9,7.4,-108.3,18.01,1.2,1.13,0.86,TNC
Financials,Capital Markets,Thomson Reuters Corp.,25,172.84,0.81,1.97,9.1,13.2,97.21,0.4,0.59,1.52,TRI
Industrials,Machinery,Trinity Industries Inc.,8,43.33,1.2,1.95,14.9,-38.2,38.27,8.3,0.76,0.53,TRN
Real Estate,Equity Real Estate Investment Trusts (REITs),Terreno Realty Corp.,8,106.67,0.9,4.46,4.7,272.5,-19.7,9.8,0.41,0.99,TRNO
Financials,Capital Markets,T. Rowe Price Group,32,37.33,7.5,1.52,29.5,31.8,-11.63,22.8,0,3.08,TROW
Financials,Insurance,Travelers Companies,14,32.7,9.42,0.78,8.8,-24.2,6.19,7.1,0.29,3.06,TRV
Consumer Discretionary,Specialty Retail,Tractor Supply Company,9,30.1,4.12,1.39,35.9,2.1,9.71,14.3,0.41,1.23,TSCO
Consumer Staples,Food Products,Tyson Foods Inc.,7,28.46,5.27,3.67,24.5,14.2,4.5,30.8,0.77,1.4,TSN
Industrials,Machinery,Toro Company,10,33.71,2.67,1.14,43.1,10.9,10.18,14.3,0.47,0.88,TTC
Industrials,Commercial Services & Supplies,Tetra Tech Inc.,5,22.22,2.16,1.7,14.4,6.1,9.78,17.9,0.29,0.49,TTEK
Information Technology,Semiconductors & Semiconductor Equipment,Texas Instruments,15,55.5,5.55,2.26,41.4,5.3,12.24,24.1,0.48,2.77,TXN
Consumer Discretionary,"Hotels, Restaurants & Leisure",Texas Roadhouse Inc.,8,46.73,2.14,2.74,17.6,10.4,16.91,19,0,1.1,TXRH
Financials,Banks,Union Bankshares Corp.,8,40.71,2.26,1.74,6,2.5,12.18,8.6,0.26,0.9,UBSH
Financials,Banks,United Bankshares Inc.,44,57.38,2.37,1.87,6.5,-3.4,3.35,3,0.07,1.37,UBSI
Financials,Banks,United Community Banks Inc.,6,37.87,1.69,15.24,6.8,2.9,4.28,44.4,0.2,0.54,UCBI
Financials,Insurance,United Fire Group Inc.,6,59.05,2.1,2.47,10.9,-52.9,26.03,11,0,1.22,UFCS
Industrials,Building Products,Universal Forest Products Inc.,6,18.75,1.92,3.21,13.6,27.8,16.38,12.5,0.2,0.4,UFPI
Utilities,Gas Utilities,UGI Corp.,31,33.23,3.13,2.28,19.6,26.7,6.42,4.6,1.25,1.12,UGI
Financials,Banks,UMB Financial Corp.,27,27.09,4.43,1.41,12.9,19.7,2.47,12.3,0.04,1.26,UMBF
Financials,Banks,Umpqua Holdings Corp.,8,58.74,1.43,1.23,7.3,-5.9,9.74,19.7,0.28,0.8,UMPQ
Health Care,Health Care Providers & Services,UnitedHealth Group Inc.,9,29.53,12.19,1.4,24.5,31.1,13.47,20,0.67,3.8,UNH
Financials,Insurance,Unum Group,10,45.81,2.27,1.52,5.8,7.3,5.27,14,0.35,1.05,UNM
Industrials,Road & Rail,Union Pacific,12,42.05,7.61,1.27,50.3,19.4,13.24,23.4,1.09,3.37,UNP
Industrials,Air Freight & Logistics,United Parcel Service Inc.,9,61.07,5.96,1.53,280.4,37.4,7.31,9.6,7.52,4,UPS
Financials,Banks,U.S. Bancorp,8,35.75,4.14,1.81,14.5,-8.3,6.66,11.4,0.92,1.28,USB
Health Care,Health Care Providers & Services,US Physical Therapy Inc.,8,82.14,1.12,7.56,8.8,-13.1,9.39,19.5,0.28,0.93,USPH
Industrials,Aerospace & Defense,United Technologies,25,50.87,5.78,2.42,16.4,7,9.88,4.2,1.24,3.03,UTX
Information Technology,IT Services,Visa Inc.,11,25.38,3.94,2.15,35.2,40.7,16.59,27.5,0.58,0.97,V
Consumer Discretionary,"Hotels, Restaurants & Leisure",Marriot Vacations Worldwide Corp.,6,119.21,1.51,2.72,5.8,20.6,38.62,14.3,1.12,1.76,VAC
Consumer Discretionary,"Textiles, Apparel & Luxury Goods",VF Corp.,46,57.95,3.52,1.79,18.5,-78.3,13.18,9.9,0.89,1.91,VFC
Energy,"Oil, Gas & Consumable Fuels",Valero Energy Corp.,9,58.06,6.2,0.42,20.7,0.5,29.45,14.3,0.41,3.22,VLO
Materials,Construction Materials,Vulcan Materials,5,35.33,3.17,1.24,8.9,-29.4,23.93,12,0.58,1.13,VMC
Real Estate,Equity Real Estate Investment Trusts (REITs),Ventas Inc.,9,253.6,1.25,7.5,6.8,5.3,8.64,1.4,0.99,3.33,VTR
Utilities,Multi-Utilities,Vectren Corp.,59,104.92,1.83,4.95,10.6,-19.5,6.26,7,1.26,1.85,VVC
Communication Services,Diversified Telecommunication Services,Verizon Communications,14,64.27,3.75,2.28,64.4,1.3,1.5,2.2,2.07,2.4,VZ
Industrials,Machinery,Westinghouse Air Brake Technologies Corp.,8,13.87,3.46,1.33,10.7,-8.6,15.48,9.1,1.34,0.48,WAB
Financials,Banks,Westamerica Bancorp,27,59.93,2.67,7.82,9.3,3,4.63,1.9,0,1.65,WABC
Financials,Thrifts & Mortgage Finance,Washington Federal Inc.,9,32.92,2.43,1.71,9.9,19.9,4.2,16.7,0,0.77,WAFD
Financials,Banks,Washington Trust Bancorp Inc.,9,49.87,3.77,2.76,14.1,11.3,6.57,9.1,0.05,1.85,WASH
Consumer Staples,Food & Staples Retailing,Walgreens Boots Alliance Inc.,43,33.21,5.3,1.35,20,30.2,8.29,8.4,0.62,1.85,WBA
Financials,Banks,Webster Financial Corp.,8,37.5,3.52,0.79,11.6,34.2,5.63,21.4,0.08,1.38,WBS
Industrials,Commercial Services & Supplies,Waste Connections Inc.,9,36.78,1.74,4.22,11.5,8.9,12.26,16,0.58,0.63,WCN
Consumer Staples,Household Products,WD-40 Company,10,58.23,4.19,4.34,42.9,10.9,11.42,10.2,0.52,2.38,WDFC
Utilities,Multi-Utilities,WEC Energy Group Inc.,16,69.21,3.41,4.56,13.3,6.1,5.22,6.3,1.15,2.34,WEC
Consumer Discretionary,"Hotels, Restaurants & Leisure",Wendy's Company,9,18.09,1.88,0.34,106.8,-58.1,15.94,21.4,3.56,0.34,WEN
Financials,Banks,Wells Fargo & Co.,9,42.35,4.25,1.05,10.9,-9.4,14.56,6.5,1.26,1.66,WFC
Energy,"Oil, Gas & Consumable Fuels",Western Gas Equity Partners LP,7,140.12,1.72,0.9,37,12.6,25.64,13.7,4.68,2.52,WGP
Materials,Chemicals,Westlake Chemical Corp.,15,12.11,8.26,0.46,31.8,78.4,-5.63,14.8,0.48,1.01,WLK
Materials,Chemicals,Westlake Chemical Partners LP,6,101.24,1.71,4.77,11.5,13.3,19.36,12,1.04,1.77,WLKP
Financials,Insurance,Willis Towers Watson plc,7,50.53,4.75,2.57,5.5,54.1,12.22,12.6,0.47,2.56,WLTW
Industrials,Commercial Services & Supplies,Waste Management,15,28.01,6.64,1.01,37.7,117.5,7.23,9.4,1.61,2.05,WM
Industrials,Building Products,Advanced Drainage Systems Inc.,5,18.39,1.74,0.56,54.6,167.5,10.06,14.8,1.94,0.34,WMS
Consumer Staples,Food & Staples Retailing,Wal-Mart Inc.,45,126.06,1.65,13.93,7,-26.8,-2.44,2,0.8,2.09,WMT
Materials,Metals & Mining,Worthington Industries Inc.,8,34.07,2.7,0.34,21.7,-19.2,15.75,7.3,0.86,0.89,WOR
Financials,Insurance,W.R. Berkley Corp.,17,11.98,5.01,0.82,12.2,-12.5,-0.36,7.3,0.5,0.6,WRB
Real Estate,Equity Real Estate Investment Trusts (REITs),Weingarten Realty Investors,8,46.75,3.38,0.94,25.5,40.1,-58.81,2.6,1.03,1.74,WRI
Materials,Containers & Packaging,WestRock Company,10,68.68,2.65,1.02,16.7,-4.1,6.42,7.1,0.56,1.76,WRK
Financials,Banks,WesBanco Inc.,8,42.03,2.76,1.47,7.4,12.7,15.51,10.8,0.1,1.24,WSBC
Financials,Thrifts & Mortgage Finance,WSFS Financial Corp.,5,10.53,4.18,0.84,10.1,-4.4,14.3,40,0.26,0.42,WSFS
Consumer Discretionary,Specialty Retail,Williams-Sonoma Inc.,13,46.99,3.66,1.97,24,2.5,2.7,9.1,0.33,1.72,WSM
Industrials,Trading Companies & Distributors,Watsco Inc.,6,101.27,6.32,1.55,17.1,6.8,8.48,21.7,0.09,5.98,WSO
Health Care,Health Care Equipment & Supplies,West Pharmaceutical Services,25,19.11,3.14,6.51,11.9,60.3,11.15,7.5,0,0.63,WST
Financials,Banks,Wintrust Financial Corp.,6,16.98,5.89,1.21,10.1,16.6,6.88,35.7,0.13,0.84,WTFC
Utilities,Water Utilities,Aqua America Inc.,26,61.69,1.42,4.95,12.5,3.5,5.9,7.1,1.17,0.88,WTR
Industrials,Machinery,Watts Water Technologies Inc.,6,24.35,3.45,2.17,10.9,17,10.35,9.3,0.43,0.9,WTS
